,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
0,Гость,0.1551034022681788,0.01593625498007968,0.022388059701492536,0.0,0.0,0.0,0.0,0.032467532467532464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
1,Анархия,0.6787858572381589,0.5737051792828686,0.5895522388059702,0.15384615384615385,0.4,0.0,0.35714285714285715,0.512987012987013,0.44871794871794873,0.6140350877192983,0.8666666666666667,0.5142857142857142,0.375,0.43333333333333335,0.42857142857142855
2,Полицейский,0.43529019346230824,0.545816733067729,0.5522388059701493,0.11538461538461539,0.5714285714285714,0.0,0.42857142857142855,0.538961038961039,0.47435897435897434,0.3157894736842105,0.43333333333333335,0.5142857142857142,0.5,0.6333333333333333,0.5714285714285714
3,Шершень,0.6621080720480321,0.5657370517928287,0.6044776119402985,0.0,0.8285714285714286,0.125,1.0,0.5454545454545454,0.5897435897435898,0.49122807017543857,0.6,0.6,0.375,0.3333333333333333,0.38095238095238093
4,Benjamin,0.5386924616410941,0.398406374501992,0.3208955223880597,0.0,0.34285714285714286,0.125,0.14285714285714285,0.3961038961038961,0.28205128205128205,0.3333333333333333,0.4,0.37142857142857144,0.20833333333333334,0.26666666666666666,0.19047619047619047
5,Snow,0.6020680453635758,0.5617529880478087,0.47761194029850745,0.0,1.0,0.0,0.5,0.6038961038961039,0.5256410256410257,0.3157894736842105,0.3333333333333333,0.4,0.16666666666666666,0.5666666666666667,0.42857142857142855
6,Гармония,0.6187458305537026,0.5856573705179283,0.5447761194029851,0.038461538461538464,0.6,0.0,0.5714285714285714,0.6558441558441559,0.6666666666666666,0.3333333333333333,0.3,0.5428571428571428,0.20833333333333334,0.3,0.3333333333333333
7,Малыш,0.38859239492995334,0.4063745019920319,0.40298507462686567,0.07692307692307693,0.2857142857142857,0.0,0.14285714285714285,0.3961038961038961,0.358974358974359,0.3157894736842105,0.3333333333333333,0.2857142857142857,0.25,0.4666666666666667,0.47619047619047616
8,Персик,0.4452968645763843,0.30278884462151395,0.291044776119403,0.07692307692307693,0.37142857142857144,0.125,0.07142857142857142,0.35064935064935066,0.3333333333333333,0.22807017543859648,0.26666666666666666,0.14285714285714285,0.041666666666666664,0.16666666666666666,0.19047619047619047
9,Frank,0.4553035356904604,0.35856573705179284,0.3358208955223881,0.0,0.22857142857142856,0.125,0.14285714285714285,0.34415584415584416,0.3076923076923077,0.42105263157894735,0.4,0.11428571428571428,0.125,0.3333333333333333,0.2857142857142857
10,Night,0.2751834556370914,0.3386454183266932,0.23134328358208955,0.0,0.2571428571428571,0.0,0.14285714285714285,0.35064935064935066,0.19230769230769232,0.24561403508771928,0.2,0.2857142857142857,0.16666666666666666,0.26666666666666666,0.2857142857142857
11,Ginger,0.3385590393595731,0.33067729083665337,0.373134328358209,0.038461538461538464,0.2571428571428571,0.0,0.2857142857142857,0.2597402597402597,0.23076923076923078,0.38596491228070173,0.6,0.4,0.375,0.26666666666666666,0.23809523809523808
12,Марта,0.36857905270180125,0.4860557768924303,0.417910447761194,0.038461538461538464,0.37142857142857144,0.125,0.0,0.4155844155844156,0.2948717948717949,0.49122807017543857,0.5333333333333333,0.37142857142857144,0.25,0.6,0.5238095238095238
13,Дор,0.5153435623749167,0.4940239043824701,0.44776119402985076,0.07692307692307693,0.2,0.0,0.21428571428571427,0.4090909090909091,0.32051282051282054,0.49122807017543857,0.6,0.5714285714285714,0.2916666666666667,0.4666666666666667,0.47619047619047616
14,Хохольчик,0.3585723815877252,0.4103585657370518,0.3283582089552239,0.0,0.34285714285714286,0.0,0.14285714285714285,0.3961038961038961,0.3076923076923077,0.38596491228070173,0.26666666666666666,0.2857142857142857,0.16666666666666666,0.36666666666666664,0.38095238095238093
15,Trevery,0.32855236824549694,0.21115537848605578,0.17164179104477612,0.038461538461538464,0.17142857142857143,0.0,0.21428571428571427,0.2077922077922078,0.1794871794871795,0.21052631578947367,0.2,0.2,0.08333333333333333,0.1,0.047619047619047616
